Program Time [s],seconds, temp, humid
6.17116,2,20.02,7
7.1745,3,20.02,7
8.17385,4,20.02,7
9.17726,5,20.02,6
10.1766,6,20.02,7
11.176,7,20.02,7
12.1794,8,20.02,7
13.1788,9,20.02,7
14.1824,10,20.02,6
15.1819,11,20.02,6
16.1852,12,20.02,7
17.1846,13,20.51,6
18.1879,14,20.02,6
19.1873,15,20.02,6
20.1908,16,20.02,6
21.1901,17,20.02,6
22.1896,18,20.51,5
23.1929,19,20.51,6
24.1923,20,20.51,6
25.1957,21,20.51,6
26.1951,22,20.51,6
27.1986,23,20.51,5
28.1981,24,20.02,6
29.1974,25,20.51,5
30.2008,26,20.51,5
31.2002,27,20.51,5
32.2036,28,20.51,5
33.203,29,20.51,5
34.2064,30,20.51,5
35.2058,31,20.51,5
36.2051,32,20.51,5
37.2085,33,20.51,5
38.2079,34,20.51,5
39.2113,35,20.51,5
40.2107,36,20.51,5
41.2143,37,20.51,5
42.2136,38,20.51,5
43.217,39,20.02,5
44.2165,40,20.51,5
45.2157,41,20.51,5
46.2192,42,20.51,5
47.2186,43,20.51,5
48.222,44,20.51,5
49.2214,45,20.51,5
50.2248,46,20.51,5
51.2241,47,20.51,5
52.2235,48,20.51,5
53.227,49,20.51,5
54.2263,50,20.51,5
55.2298,51,20.51,5
56.2291,52,20.51,5
57.2326,53,20.51,5
58.232,54,20.51,6
59.2315,55,20.51,5
60.2348,56,20.51,6
61.2342,57,20.51,7
62.2376,58,20.51,13
63.237,59,20.51,16
64.2404,60,21,20
65.2398,61,22.95,39
66.2431,62,23.44,44
67.2426,63,23.44,46
68.2461,64,23.93,57
69.2453,65,24.9,67
70.2488,66,25.88,72
71.2483,67,25.88,75
72.2517,68,25.39,78
73.2511,69,25.88,81
74.2505,70,26.37,80
75.2539,71,25.88,81
76.2532,72,25.88,82
77.2566,73,26.37,84
78.256,74,25.88,84
79.2594,75,26.37,84
80.2588,76,26.86,86
81.2622,77,26.37,84
82.2616,78,26.37,87
83.2609,79,26.86,87
84.2645,80,26.37,85
85.264,81,26.37,87
86.2673,82,26.86,89
87.2667,83,27.34,94
88.2701,84,26.86,90
89.2695,85,26.86,90
90.2729,86,27.34,90
91.2723,87,27.34,88
92.2716,88,26.86,88
93.275,89,26.86,90
94.2744,90,27.83,93
95.2778,91,27.34,91
96.2773,92,27.34,92
97.2807,93,27.34,92
98.2802,94,27.34,93
99.2836,95,27.34,94
100.283,96,27.83,94
101.282,97,27.34,92
102.286,98,27.34,93
103.285,99,27.83,93
104.289,100,27.34,91
105.292,101,27.34,92
106.291,102,27.83,93
107.291,103,27.34,91
108.294,104,27.34,94
109.293,105,27.34,93
110.297,106,27.34,94
111.296,107,26.86,95
112.3,108,27.34,96
113.299,109,27.34,95
114.303,110,26.86,96
115.302,111,27.34,98
116.305,112,27.34,97
117.305,113,27.34,98
118.308,114,27.34,100
119.307,115,27.34,98
120.307,116,27.34,98
121.31,117,27.34,100
122.31,118,27.34,96
123.313,119,26.86,96
124.313,120,27.34,100
125.316,121,27.83,106
126.316,122,27.34,110
