Day, no activity
time,temp1,humid1,temp2,humid2,Temp3,Humid3,Avg temp,Avg humid
0,21.97,6,25.39,7,22.95,6,23.44,6.33333333333333
1,21.97,6,25.39,7,22.95,6,23.44,6.33333333333333
2,21.97,6,25.39,7,22.95,6,23.44,6.33333333333333
3,21.97,6,25.39,7,22.95,6,23.44,6.33333333333333
4,21.97,6,25.39,7,22.95,6,23.44,6.33333333333333
5,21.97,6,25.39,7,22.95,6,23.44,6.33333333333333
6,21.97,6,25.39,7,22.95,6,23.44,6.33333333333333
7,21.97,6,25.39,7,22.95,6,23.44,6.33333333333333
8,21.97,6,25.39,7,22.95,6,23.44,6.33333333333333
9,21.97,6,24.9,7,22.95,6,23.2733333333333,6.33333333333333
10,21.97,6,24.9,7,22.95,6,23.2733333333333,6.33333333333333
11,21.97,6,25.39,7,22.95,6,23.44,6.33333333333333
12,21.97,6,24.9,7,22.95,6,23.2733333333333,6.33333333333333
13,21.97,6,24.9,7,22.95,6,23.2733333333333,6.33333333333333
14,21.97,6,24.9,7,22.95,6,23.2733333333333,6.33333333333333
15,21.97,6,24.9,7,22.95,6,23.2733333333333,6.33333333333333
16,21.97,6,24.9,7,22.95,6,23.2733333333333,6.33333333333333
17,21.97,6,24.9,7,22.95,6,23.2733333333333,6.33333333333333
18,21.97,6,24.9,7,22.95,6,23.2733333333333,6.33333333333333
19,21.97,6,24.9,7,22.95,6,23.2733333333333,6.33333333333333
20,21.97,6,24.9,6,22.95,6,23.2733333333333,6
21,21.97,6,24.9,7,22.95,6,23.2733333333333,6.33333333333333
22,21.97,6,24.9,7,22.95,6,23.2733333333333,6.33333333333333
23,21.97,6,24.9,7,22.95,6,23.2733333333333,6.33333333333333
24,21.97,6,24.9,7,22.95,6,23.2733333333333,6.33333333333333
25,21.97,6,24.9,7,22.95,6,23.2733333333333,6.33333333333333
26,21.97,6,24.9,7,22.95,6,23.2733333333333,6.33333333333333
27,21.97,6,24.9,7,22.95,6,23.2733333333333,6.33333333333333
28,21.97,6,24.9,7,22.95,6,23.2733333333333,6.33333333333333
29,21.97,6,24.9,7,22.95,6,23.2733333333333,6.33333333333333
30,21.97,6,24.41,7,22.95,6,23.11,6.33333333333333
31,21.97,6,24.41,7,22.95,6,23.11,6.33333333333333
32,21.97,6,24.41,7,22.95,6,23.11,6.33333333333333
33,21.97,6,24.41,7,22.95,6,23.11,6.33333333333333
34,21.97,6,24.41,6,22.95,6,23.11,6
35,22.46,6,24.41,7,22.95,6,23.27,6.33333333333333
36,21.97,6,24.41,7,22.95,6,23.11,6.33333333333333
37,21.97,6,24.41,7,22.95,6,23.11,6.33333333333333
38,21.97,6,24.41,7,22.95,6,23.11,6.33333333333333
39,22.46,6,24.41,7,22.95,6,23.27,6.33333333333333
40,21.97,6,24.41,7,22.95,6,23.11,6.33333333333333
41,21.97,6,24.41,7,22.95,6,23.11,6.33333333333333
42,21.97,6,24.41,7,22.95,6,23.11,6.33333333333333
43,21.97,6,24.41,7,22.95,6,23.11,6.33333333333333
