Day, with activity
time,temp1,humid1,temp2,humid2,Temp3,Humid3,Avg temp,Avg humid
0,24.9,6,27.83,8,28.32,9,27.0166666666667,7.66666666666667
1,24.9,6,27.83,9,28.32,8,27.0166666666667,7.66666666666667
2,24.9,6,27.83,9,28.32,8,27.0166666666667,7.66666666666667
3,24.9,6,27.83,6,28.32,6,27.0166666666667,6
4,25.39,6,27.83,7,28.32,6,27.18,6.33333333333333
5,24.9,6,27.83,3,28.32,3,27.0166666666667,4
6,24.9,6,27.83,1,28.32,5,27.0166666666667,4
7,24.9,7,27.83,2,28.32,7,27.0166666666667,5.33333333333333
8,24.9,7,27.83,1,28.32,6,27.0166666666667,4.66666666666667
9,25.39,7,27.83,8,28.32,8,27.18,7.66666666666667
10,25.39,7,27.34,6,28.32,7,27.02,6.66666666666667
11,24.9,12,27.83,12,28.32,8,27.0166666666667,10.6666666666667
12,25.39,13,27.34,12,27.83,8,26.85,11
13,24.9,11,27.34,13,28.32,8,26.8533333333333,10.6666666666667
14,24.9,12,27.34,14,28.32,8,26.8533333333333,11.3333333333333
15,25.39,7,27.34,8,27.83,8,26.85,7.66666666666667
16,24.9,9,27.34,4,28.32,8,26.8533333333333,7
17,25.39,4,27.34,2,27.83,9,26.85,5
18,24.9,5,27.34,1,27.83,8,26.69,4.66666666666667
19,25.39,7,27.34,2,27.83,8,26.85,5.66666666666667
20,24.9,6,27.34,2,27.83,8,26.69,5.33333333333333
21,25.39,6,27.34,7,28.32,7,27.02,6.66666666666667
22,25.39,6,27.34,7,27.83,8,26.85,7
23,25.39,6,27.34,12,27.83,7,26.85,8.33333333333333
24,25.39,6,27.34,12,27.83,7,26.85,8.33333333333333
25,25.39,6,27.34,14,27.83,7,26.85,9
26,25.39,7,27.34,13,27.83,7,26.85,9
27,25.39,6,27.34,8,27.83,6,26.85,6.66666666666667
28,25.39,6,27.34,6,27.83,8,26.85,6.66666666666667
29,25.39,6,27.34,3,27.83,7,26.85,5.33333333333333
30,24.9,6,27.34,2,27.83,8,26.69,5.33333333333333
31,25.39,7,27.34,2,27.83,8,26.85,5.66666666666667
32,25.39,7,27.34,4,27.83,8,26.85,6.33333333333333
33,25.39,7,27.34,6,27.83,9,26.85,7.33333333333333
