Program Time [s],seconds, temp, humid
9.35053,2,23.44,6
10.3509,3,23.44,5
11.3491,4,23.44,5
12.3526,5,23.44,5
13.3523,6,23.44,5
14.3597,7,23.44,6
15.3547,8,23.44,6
16.3582,9,23.44,11
17.363,10,23.44,8
18.361,11,23.44,7
19.3604,12,23.44,7
20.3638,13,23.44,5
21.3632,14,23.44,5
22.3626,15,23.44,2
23.366,16,23.44,1
24.3654,17,23.44,1
25.3689,18,23.44,0
26.3682,19,23.44,4
27.3716,20,23.44,8
28.371,21,23.44,8
29.3745,22,23.44,11
30.3739,23,23.44,8
31.3732,24,23.44,8
32.3767,25,23.44,8
33.3761,26,23.44,8
34.3795,27,23.44,8
35.3788,28,23.44,9
36.3823,29,23.44,8
37.3816,30,23.44,7
38.381,31,23.44,7
39.3886,32,23.44,6
40.384,33,23.44,7
41.3879,34,23.44,5
42.3866,35,23.44,5
43.3901,36,23.44,5
44.3895,37,23.44,4
45.3929,38,23.44,0
46.3923,39,23.44,0
47.4009,40,23.44,1
48.396,41,23.44,0
49.4664,42,23.44,4
50.398,43,23.44,5
51.3973,44,23.44,7
52.4007,45,23.44,5
53.4002,46,23.44,6
54.404,47,23.44,7
55.403,48,23.44,5
56.4023,49,23.44,7
57.406,50,23.44,5
58.4058,51,23.44,6
59.4085,52,23.44,7
60.408,53,23.44,7
61.4114,54,22.95,8
62.4108,55,22.95,10
63.4142,56,22.95,10
64.4135,57,22.95,11
65.419,58,22.95,11
66.4164,59,22.95,11
67.4216,60,22.95,13
68.4192,61,22.95,14
69.4185,62,22.95,16
70.422,63,23.44,27
71.423,64,23.93,31
72.4249,65,24.41,29
73.4246,66,24.9,28
74.4277,67,24.9,732
75.4311,68,24.41,1023
76.4304,69,25.39,13
77.4299,70,25.39,137
78.4292,71,25.39,0
79.4327,72,24.9,0
80.432,73,24.9,0
81.4366,74,25.39,0
82.4349,75,25.39,0
83.4383,76,24.9,0
84.4376,77,24.9,0
85.4375,78,25.39,0
86.4405,79,25.88,0
87.4398,80,25.39,0
88.4433,81,25.88,0
89.4427,82,26.37,0
90.4461,83,26.37,0
91.4455,84,26.86,0
92.4489,85,26.86,20
93.4483,86,26.37,23
94.4541,87,26.37,44
95.4583,88,26.86,48
96.4557,89,26.37,25
97.4541,90,26.37,29
98.4544,91,26.86,33
99.4568,92,27.34,896
100.46,93,26.37,859
101.461,94,25.88,28
102.459,95,25.88,28
103.462,96,26.37,380
104.462,97,26.86,216
105.465,98,27.34,222
106.465,99,27.34,58
107.468,100,27.34,0
108.467,101,27.34,0
109.471,102,27.34,0
110.474,103,27.83,0
111.47,104,27.83,0
112.473,105,27.83,0
113.472,106,27.34,0
114.476,107,27.83,0
115.475,108,27.83,42
116.479,109,27.83,0
117.478,110,27.83,49
118.481,111,27.83,105
119.485,112,27.83,151
120.484,113,27.83,333
121.488,114,27.83,335
