Program Time [s],seconds, temp, humid
8.70574,2,20.51,3
9.70904,3,20.51,3
10.7084,4,20.51,3
11.7118,5,20.51,3
12.7111,6,20.51,2
13.7148,7,20.51,3
14.7142,8,20.51,4
15.7136,9,20.51,6
16.7169,10,20.51,6
17.7203,11,20.51,8
18.7197,12,20.51,11
19.7191,13,20.51,9
20.7225,14,20.51,10
21.7259,15,20.51,10
22.7253,16,20.51,10
23.7246,17,20.51,9
24.728,18,20.51,9
25.7274,19,20.51,9
26.7311,20,20.51,8
27.7304,21,20.51,9
28.7298,22,20.51,6
29.7332,23,20.51,6
30.7326,24,20.51,7
31.736,25,20.51,4
32.7354,26,20.51,5
33.7387,27,20.51,1
34.7381,28,20.51,2
35.7416,29,20.51,2
36.7409,30,20.51,1
37.7403,31,20.51,1
38.7438,32,20.51,1
39.7431,33,20.51,1
40.7467,34,20.51,2
41.746,35,20.51,1
42.7495,36,20.51,4
43.7488,37,20.51,5
44.7523,38,20.51,4
45.7516,39,20.51,6
46.751,40,20.51,9
47.7544,41,20.51,9
48.7538,42,20.51,9
49.7572,43,20.51,9
50.7566,44,20.51,10
51.76,45,20.51,9
52.7594,46,20.51,10
53.7629,47,20.51,8
54.7623,48,20.51,5
55.7616,49,20.51,5
56.765,50,20.51,4
57.7644,51,20.51,4
58.7679,52,20.51,1
59.7673,53,20.51,2
60.7707,54,20.51,2
61.7701,55,20.51,0
62.7695,56,20.51,1
63.7729,57,20.51,0
64.7722,58,20.51,0
65.7757,59,20.51,6
66.775,60,20.51,5
67.7785,61,20.51,10
68.782,62,21,464
69.7813,63,21,28
70.7808,64,21.97,28
71.7842,65,22.95,24
72.7836,66,23.44,390
73.787,67,23.93,50
74.7864,68,24.9,664
75.7898,69,25.39,873
76.7892,70,25.88,155
77.7926,71,25.88,134
78.792,72,25.88,396
79.7954,73,26.37,320
80.7947,74,26.37,63
81.7941,75,26.37,79
82.7976,76,26.37,146
83.8011,77,26.37,129
84.8005,78,26.86,115
85.7999,79,26.86,88
86.7992,80,27.83,0
87.8027,81,27.83,0
88.8021,82,27.83,0
89.8055,83,27.83,0
90.8048,84,28.32,0
91.8083,85,28.32,23
92.8076,86,28.32,86
93.811,87,27.83,83
94.8104,88,27.34,6
95.8139,89,28.32,15
96.8135,90,28.32,90
97.8168,91,27.83,97
98.8161,92,27.83,76
99.8195,93,27.83,100
100.819,94,27.34,122
101.822,95,27.34,103
102.822,96,27.34,101
103.825,97,27.34,179
104.825,98,27.34,191
105.828,99,27.34,188
106.827,100,27.34,90
107.827,101,27.34,94
108.83,102,27.34,95
109.834,103,27.83,105
110.833,104,27.83,101
111.832,105,27.34,97
112.836,106,27.34,99
113.835,107,27.34,71
114.839,108,27.83,86
115.838,109,27.83,98
116.841,110,27.83,82
117.841,111,27.83,0
118.844,112,27.83,79
119.844,113,28.32,41
120.847,114,28.32,116
121.847,115,28.81,196
122.85,116,28.81,304
123.849,117,28.32,301
124.853,118,28.81,355
125.852,119,28.32,254
126.856,120,28.81,184
127.855,121,28.32,123
128.854,122,28.81,48
129.858,123,28.32,31
130.857,124,28.81,0
131.856,125,28.32,0
132.86,126,28.81,0
133.859,127,28.32,0
134.863,128,28.81,0
135.862,129,28.81,0
136.866,130,28.32,0
137.865,131,28.81,0
138.868,132,27.83,0
139.868,133,28.81,42
140.871,134,28.81,83
141.871,135,28.81,126
142.874,136,29.3,170
143.873,137,28.32,212
144.877,138,28.81,256
145.876,139,28.32,265
146.88,140,28.32,290
147.879,141,28.32,273
148.883,142,28.32,266
149.882,143,28.32,227
150.885,144,27.83,168
151.885,145,28.32,119
152.884,146,27.83,76
153.887,147,27.83,24
154.887,148,27.34,1
155.89,149,27.83,0
156.89,150,27.83,0
157.889,151,27.34,0
158.892,152,27.83,0
159.892,153,27.34,0
160.896,154,27.83,0
161.895,155,27.34,4
162.898,156,28.32,621
163.902,157,27.83,149
164.901,158,28.32,457
165.904,159,28.32,274
166.904,160,28.32,356
167.907,161,27.83,614
168.907,162,28.32,631
169.91,163,28.32,474
170.909,164,28.32,331
171.913,165,28.32,130
172.912,166,28.32,123
173.912,167,28.32,120
174.915,168,28.32,120
175.915,169,28.32,117
176.918,170,28.32,116
177.917,171,28.32,115
178.921,172,28.32,112
179.92,173,28.32,111
180.924,174,28.32,111
181.923,175,28.32,123
182.926,176,28.32,108
183.926,177,28.81,114
184.929,178,28.32,109
185.929,179,28.32,107
186.928,180,28.32,99
187.931,181,28.32,108
188.935,182,28.32,108
189.934,183,28.32,108
190.938,184,28.32,108
191.937,185,28.32,148
192.937,186,28.32,155
193.94,187,28.32,159
194.939,188,28.81,163
195.943,189,28.32,166
196.942,190,28.81,177
197.945,191,28.32,175
198.945,192,28.32,172
199.948,193,28.81,192
200.952,194,28.32,210
201.951,195,28.81,235
202.95,196,28.32,286
203.954,197,27.34,274
204.953,198,28.32,281
205.957,199,29.3,111
206.956,200,29.3,124
207.96,201,28.81,133
208.959,202,28.32,133
209.963,203,28.81,126
210.962,204,28.32,127
211.961,205,28.81,136
212.965,206,28.81,112
213.964,207,28.32,118
214.967,208,28.32,122
215.967,209,28.32,125
216.97,210,28.32,130
217.97,211,28.32,135
218.973,212,28.32,139
219.972,213,28.32,149
220.976,214,27.83,146
221.975,215,28.32,147
222.979,216,28.32,148
223.978,217,27.83,145
224.983,218,28.32,145
225.981,219,28.32,199
226.984,220,28.32,286
227.984,221,28.81,209
228.987,222,28.32,212
229.987,223,29.3,210
230.986,224,28.32,143
231.989,225,28.81,47
232.989,226,28.32,8
233.988,227,28.81,0
234.991,228,28.81,0
235.991,229,28.32,0
236.994,230,28.81,0
237.994,231,28.32,0
238.997,232,28.81,8
239.997,233,28.32,0
241,234,28.81,79
241.999,235,28.32,174
243.003,236,28.81,271
244.002,237,28.81,331
245.006,238,28.32,371
246.005,239,28.81,423
247.008,240,28.32,468
248.008,241,28.81,786
249.011,242,28.32,486
250.011,243,28.81,144
251.014,244,28.81,154
252.014,245,28.81,146
253.017,246,28.32,133
254.016,247,28.32,153
255.02,248,28.32,159
256.019,249,28.32,166
257.023,250,27.83,167
258.022,251,27.83,166
259.025,252,27.83,166
260.025,253,27.83,164
261.024,254,27.83,160
262.027,255,27.83,159
263.027,256,27.34,158
264.03,257,27.34,158
265.03,258,27.34,158
266.033,259,27.34,158
267.033,260,27.34,160
268.036,261,27.34,159
269.035,262,26.86,157
270.039,263,26.86,157
271.038,264,26.86,157
272.042,265,26.86,156
273.041,266,26.86,155
274.044,267,26.86,154
275.044,268,26.86,153
276.047,269,26.86,152
277.047,270,26.37,149
278.05,271,26.37,149
279.05,272,26.37,145
280.049,273,26.37,144
281.052,274,26.37,143
282.052,275,26.37,140
283.055,276,26.37,141
284.055,277,26.37,139
285.058,278,25.88,138
286.057,279,25.88,137
287.061,280,25.88,136
288.06,281,25.88,136
289.064,282,25.88,134
290.063,283,25.88,133
291.066,284,25.88,131
292.066,285,25.88,128
293.069,286,25.39,128
294.069,287,25.39,126
295.072,288,25.39,124
296.071,289,25.39,122
297.075,290,25.39,118
298.074,291,25.39,114
299.074,292,25.39,111
300.077,293,25.39,106
301.076,294,25.39,99
302.08,295,25.39,92
303.079,296,24.9,84
304.083,297,24.9,75
305.082,298,24.9,66
306.081,299,24.9,58
307.085,300,24.9,54
308.084,301,24.9,50
309.088,302,24.9,47
310.098,303,24.9,46
311.115,304,24.9,44
