Night, with activity
time,temp1,humid1,temp2,humid2,Temp3,Humid3,Avg temp,Avg humid
0,22.95,6,24.9,0,24.9,8,24.25,4.66666666666667
1,22.95,7,24.9,1,24.9,7,24.25,5
2,22.95,6,24.9,1,24.9,7,24.25,4.66666666666667
3,22.95,6,24.41,4,24.9,5,24.0866666666667,5
4,22.95,6,24.41,4,24.9,5,24.0866666666667,5
5,22.95,6,24.41,6,24.9,1,24.0866666666667,4.33333333333333
6,22.95,6,24.9,7,24.9,0,24.25,4.33333333333333
7,22.46,5,24.41,10,24.9,0,23.9233333333333,5
8,22.95,5,24.41,11,24.41,0,23.92,5.33333333333333
9,22.95,6,24.9,11,24.9,0,24.25,5.66666666666667
10,22.95,6,24.41,11,24.9,1,24.0866666666667,6
11,22.95,6,24.41,10,24.41,1,23.92,5.66666666666667
12,22.95,5,24.41,6,24.41,1,23.92,4
13,22.95,7,24.41,6,24.41,3,23.92,5.33333333333333
14,22.46,6,24.41,3,24.41,4,23.76,4.33333333333333
15,22.95,6,24.41,3,24.41,3,23.92,4
16,22.46,5,24.41,3,24.41,9,23.76,5.66666666666667
17,22.95,6,24.41,2,24.41,14,23.92,7.33333333333333
18,22.95,6,24.41,1,24.41,20,23.92,9
19,22.46,6,24.41,5,24.41,18,23.76,9.66666666666667
20,22.46,6,24.41,5,24.41,14,23.76,8.33333333333333
21,22.95,6,24.41,7,24.41,14,23.92,9
22,22.95,6,24.41,9,24.41,14,23.92,9.66666666666667
23,22.46,6,24.41,9,24.41,11,23.76,8.66666666666667
24,22.46,6,24.41,9,24.41,5,23.76,6.66666666666667
25,22.46,6,24.41,10,24.41,0,23.76,5.33333333333333
26,22.46,6,24.41,10,24.41,0,23.76,5.33333333333333
27,22.46,6,24.41,11,24.41,0,23.76,5.66666666666667
28,22.46,6,24.41,11,24.41,5,23.76,7.33333333333333
29,22.46,6,24.41,11,24.41,7,23.76,8
30,22.46,6,24.41,10,24.41,13,23.76,9.66666666666667
31,22.46,6,24.41,11,24.41,15,23.76,10.6666666666667
32,22.46,5,24.41,9,24.41,16,23.76,10
33,22.46,7,24.41,8,24.41,14,23.76,9.66666666666667
34,22.46,6,23.93,7,24.41,11,23.60,8
35,22.46,6,23.93,6,24.41,8,23.60,6.66666666666667
36,22.46,6,23.93,5,24.41,5,23.60,5.33333333333333
37,22.46,6,23.93,3,24.41,0,23.60,3
38,22.46,6,23.93,3,24.41,0,23.60,3
39,22.46,6,23.93,3,23.93,0,23.44,3
40,22.46,6,23.93,2,23.93,0,23.44,2.66666666666667
41,22.46,5,23.93,3,23.93,0,23.44,2.66666666666667
42,22.46,6,23.93,3,23.93,3,23.44,4
43,22.46,5,23.93,3,23.93,6,23.44,4.66666666666667
44,22.46,6,23.93,2,23.93,8,23.44,5.33333333333333
45,22.46,6,23.93,8,23.93,13,23.44,9
46,22.46,6,23.93,7,23.93,14,23.44,9
47,22.46,6,23.93,7,23.93,16,23.44,9.66666666666667
48,22.46,6,23.93,9,23.93,15,23.44,10
49,22.46,5,23.93,9,23.93,14,23.44,9.33333333333333
50,22.46,6,23.93,10,23.93,12,23.44,9.33333333333333
51,22.46,5,23.93,10,23.93,10,23.44,8.33333333333333
52,22.46,5,23.93,10,23.93,7,23.44,7.33333333333333
53,22.46,5,23.93,11,23.93,6,23.44,7.33333333333333
54,22.46,7,23.93,10,23.93,6,23.44,7.66666666666667
55,22.46,6,23.93,12,23.93,3,23.44,7
56,22.46,6,23.93,7,23.93,0,23.44,4.33333333333333
57,22.46,6,23.93,8,23.93,0,23.44,4.66666666666667
58,22.46,5,23.93,7,23.93,0,23.44,4
59,22.46,4,23.93,4,23.93,0,23.44,2.66666666666667
60,22.46,7,23.93,4,23.93,0,23.44,3.66666666666667
61,23.44,25,24.41,0,23.93,0,23.93,8.33333333333333
62,23.44,35,25.39,29,23.93,7,24.25,23.6666666666667
63,23.93,39,25.39,23,23.93,6,24.42,22.6666666666667
64,24.41,45,25.39,0,25.39,21,25.06,22
65,24.41,49,25.39,32,25.39,33,25.06,38
66,24.41,51,25.88,0,26.37,45,25.55,32
67,24.41,54,26.37,0,27.34,45,26.04,33
68,24.9,58,26.37,36,26.37,33,25.88,42.3333333333333
69,25.39,58,26.37,36,26.37,45,26.04,46.3333333333333
70,24.9,58,27.34,40,27.34,83,26.5266666666667,60.3333333333333
71,25.39,60,27.34,49,27.34,80,26.69,63
72,24.9,59,27.34,49,28.32,88,26.8533333333333,65.3333333333333
73,24.9,64,28.32,51,28.32,82,27.18,65.6666666666667
74,25.39,64,27.34,41,28.81,61,27.18,55.3333333333333
75,25.39,62,28.32,58,29.3,46,27.67,55.3333333333333
76,25.39,61,29.3,62,29.3,25,27.9966666666667,49.3333333333333
77,25.39,63,29.3,74,29.3,0,27.9966666666667,45.6666666666667
78,25.39,62,28.32,65,29.79,0,27.83,42.3333333333333
79,25.88,65,28.32,79,30.27,0,28.16,48
