Program Time [s],Temp,Humid
1272.02,31.25,18
1273.02,31.25,18
1274.02,31.25,12
1275.02,31.25,19
1276.02,31.25,14
1277.02,31.25,14
1278.02,31.25,16
1279.03,31.74,16
1280.03,31.74,23
1281.03,32.23,21
1282.03,31.25,15
1283.03,30.76,11
1284.03,31.25,20
1285.03,31.74,26
1286.04,32.23,30
1287.03,32.23,28
1288.04,31.74,29
1289.04,31.74,31
1290.04,31.74,31
1291.04,32.23,31
1292.04,31.74,31
1293.04,31.74,31
1294.04,31.74,29
1295.05,31.25,25
1296.04,31.74,29
1297.04,31.74,29
1298.05,31.74,26
1299.05,31.74,25
1300.05,31.74,24
1301.05,31.25,11
1302.05,31.25,11
1303.05,31.25,14
1304.05,31.25,12
1305.06,31.25,8
1306.05,31.25,11
1307.06,31.25,14
1308.06,31.25,8
1309.06,30.76,10
1310.06,31.25,15
1311.06,31.25,18
1312.06,31.25,15
1313.06,31.25,16
1314.07,31.25,12
1315.07,31.25,9
1316.07,31.25,13
1317.07,31.25,12
1318.07,31.25,10
1319.07,31.25,13
1320.07,31.25,9
1321.07,31.25,10
1322.07,31.25,16
1323.08,31.25,17
1324.08,30.76,9
1325.08,31.25,16
1326.08,31.25,21
1327.08,31.25,20
1328.08,30.76,13
1329.08,31.25,19
1330.08,31.25,22
1331.08,30.76,19
1332.08,30.76,16
1333.09,30.76,10
1334.09,30.76,12
1335.09,31.74,28
1336.09,32.23,32
1337.09,31.74,20
1338.09,31.74,24
1339.09,31.74,29
1340.09,32.23,30
1341.09,32.23,31
1342.1,31.74,31
1343.1,31.74,31
1344.1,31.74,30
1345.1,31.74,30
1346.1,31.25,25
1347.1,31.25,16
1348.1,30.76,11
1349.1,30.76,9
1350.1,30.76,9
1351.1,30.76,9
1352.11,30.76,9
1353.11,30.76,9
1354.11,30.76,21
1355.11,31.25,30
1356.11,31.74,29
1357.11,31.74,31
1358.12,31.74,27
1359.12,31.74,20
1360.11,31.25,16
1361.12,31.25,15
1362.12,31.25,14
1363.12,31.25,13
1364.12,31.25,12
1365.12,31.25,11
1366.12,31.25,10
1367.12,31.25,9
1368.13,31.25,12
1369.13,31.25,18
1370.13,31.74,21
1371.13,31.74,19
1372.13,31.25,9
1373.13,31.25,11
1374.13,31.25,14
1375.14,31.25,13
1376.13,31.25,8
1377.14,31.25,10
1378.14,31.25,15
1379.14,31.25,16
1380.14,31.25,8
1381.14,31.25,11
1382.14,31.25,17
1383.14,31.25,20
1384.14,31.74,21
1385.15,31.25,15
1386.15,31.25,18
1387.15,31.25,17
1388.15,31.25,11
1389.15,31.25,12
1390.15,31.25,19
1391.15,31.25,19
1392.15,31.25,10
1393.15,31.25,13
1394.15,31.25,15
1395.15,31.25,13
1396.16,31.25,21
1397.16,31.74,25
1398.16,31.74,24
1399.16,31.25,21
1400.16,31.25,25
1401.16,31.74,34
1402.16,31.74,28
1403.16,31.25,27
1404.16,31.74,34
1405.17,31.74,29
1406.17,31.25,27
1407.17,31.25,24
1408.17,31.25,23
1409.17,31.25,24
1410.17,31.25,27
1411.17,31.25,24
1412.18,31.25,22
1413.18,31.25,24
1414.18,31.25,23
1415.18,31.25,20
1416.18,31.25,30
1417.18,31.25,31
1418.18,31.25,21
1419.18,31.25,29
1420.18,31.25,29
1421.19,31.25,24
1422.19,31.25,26
1423.19,31.25,24
1424.19,31.25,18
1425.19,31.25,24
1426.19,31.25,22
1427.19,31.25,17
1428.19,31.25,21
1429.19,31.25,15
1430.19,31.25,16
1431.2,31.25,16
1432.2,31.25,11
1433.2,31.25,18
1434.2,31.25,15
1435.2,31.25,13
1436.2,31.25,10
1437.2,31.25,10
1438.2,31.25,16
1439.2,31.25,13
1440.21,31.25,11
1441.21,31.25,8
1442.21,31.25,12
1443.21,31.25,14
1444.21,31.25,12
1445.21,30.76,14
1446.21,31.25,13
1447.21,31.25,12
1448.21,30.76,10
1449.22,31.25,12
1450.22,30.76,10
1451.22,30.76,18
1452.22,31.25,16
1453.22,31.25,18
1454.22,31.25,17
1455.22,31.25,13
1456.23,30.76,10
1457.22,31.25,18
1458.22,31.25,19
1459.23,30.76,7
1460.23,30.76,10
1461.23,31.25,23
1462.23,31.74,30
1463.23,31.74,34
1464.23,31.74,33
1465.23,31.74,33
1466.24,31.74,36
1467.23,31.74,36
1468.24,31.25,22
1469.24,31.25,30
1470.24,31.25,31
1471.24,31.25,30
1472.24,31.25,29
1473.24,31.25,32
1474.24,30.76,35
1475.25,30.76,40
1476.25,30.76,39
1477.25,30.76,32
1478.25,31.25,31
1479.25,30.76,24
1480.25,30.76,27
1481.25,30.76,25
1482.25,30.76,14
1483.25,30.76,21
1484.26,30.76,21
1485.26,30.76,11
1486.26,30.76,10
1487.26,30.76,11
1488.26,30.76,10
1489.26,30.76,12
1490.26,30.76,12
1491.26,30.76,9
1492.26,30.76,15
1493.26,30.76,6
1494.27,30.76,11
1495.27,30.76,7
1496.27,30.76,11
1497.27,30.76,11
1498.27,30.76,11
1499.27,30.76,9
1500.27,30.76,10
1501.27,30.76,11
1502.27,30.76,7
1503.28,30.76,11
1504.28,31.25,13
1505.28,30.76,12
1506.28,30.76,13
1507.28,31.25,14
1508.28,30.76,12
1509.28,30.76,12
1510.29,30.76,11
1511.28,30.76,11
1512.29,30.76,12
1513.29,30.76,13
1514.29,30.76,14
1515.29,30.76,15
1516.29,30.76,10
1517.29,30.76,13
1518.29,30.76,19
1519.3,31.25,17
1520.3,30.76,13
1521.29,30.76,6
1522.3,30.76,16
1523.3,31.25,21
1524.3,31.25,11
1525.3,30.76,11
1526.3,30.76,8
1527.3,30.76,10
1528.3,30.76,9
1529.31,30.76,8
1530.31,30.76,15
1531.31,31.25,15
1532.31,30.76,8
1533.31,30.76,16
1534.31,30.76,18
1535.31,30.76,15
1536.31,30.76,9
1537.31,30.76,11
1538.31,30.76,6
1539.32,30.76,13
1540.32,31.25,22
1541.32,31.25,21
1542.32,30.76,15
1543.32,30.76,10
1544.32,30.76,18
1545.32,30.76,17
1546.32,30.76,13
1547.32,30.76,16
1548.33,30.76,19
1549.33,31.25,18
1550.33,30.76,10
1551.33,30.76,11
1552.33,30.76,16
1553.33,30.76,9
1554.33,30.76,13
1555.33,30.76,11
1556.33,30.76,10
1557.34,30.76,11
1558.34,30.76,11
1559.34,30.76,12
1560.34,30.76,11
1561.34,30.76,10
1562.34,30.76,14
1563.34,30.76,16
1564.34,30.76,14
1565.34,30.76,10
1566.35,30.76,14
1567.35,31.25,12
1568.35,30.76,10
1569.35,30.76,8
1570.35,30.76,12
1571.35,30.76,11
1572.35,30.76,11
1573.36,30.76,11
1574.36,30.76,11
1575.35,30.76,10
1576.36,30.76,8
1577.36,30.76,11
1578.36,30.27,9
1579.36,30.76,10
1580.36,30.76,10
1581.36,30.76,9
1582.36,30.76,9
1583.37,30.76,16
1584.36,31.25,19
1585.36,30.76,8
1586.37,30.76,16
1587.37,30.76,20
1588.37,30.76,16
1589.37,30.76,16
1590.37,30.76,32
1591.37,31.25,44
1592.38,31.25,20
1593.38,31.25,29
1594.38,30.76,15
1595.38,30.76,18
1596.38,30.76,12
1597.38,30.76,13
1598.38,30.76,9
1599.38,30.76,8
1600.38,30.76,10
1601.38,30.76,9
1602.39,30.76,10
1603.39,30.76,8
1604.39,30.76,11
1605.39,30.76,10
1606.39,30.76,9
1607.39,31.25,10
1608.39,31.25,7
1609.39,30.76,9
1610.39,30.76,6
1611.39,30.76,9
1612.4,30.76,9
1613.4,30.76,11
1614.4,31.25,14
1615.4,31.25,14
1616.4,31.25,11
1617.4,30.76,9
1618.4,30.76,14
1619.4,31.25,15
1620.41,31.74,16
1621.41,31.74,15
1622.41,31.25,14
1623.41,31.25,18
1624.41,31.25,21
1625.41,31.74,21
1626.41,31.74,22
1627.42,31.74,21
1628.41,31.25,21
1629.41,30.76,18
1630.42,31.25,20
1631.42,31.25,21
1632.42,31.25,21
1633.42,31.25,21
1634.42,31.25,15
1635.42,30.76,13
1636.42,31.25,15
1637.43,31.25,15
1638.42,31.25,11
1639.43,30.76,10
1640.43,31.25,13
1641.43,31.25,14
1642.43,30.76,12
1643.43,31.25,16
1644.43,31.25,14
1645.43,30.76,15
1646.44,31.25,18
1647.44,30.76,15
1648.44,30.76,18
1649.44,31.25,21
1650.44,30.76,18
1651.44,30.76,19
1652.44,30.76,17
1653.44,30.76,14
1654.44,30.76,17
1655.45,31.25,18
1656.45,31.25,18
1657.45,31.25,18
1658.45,30.76,15
1659.45,30.76,11
1660.45,30.76,13
1661.45,31.25,13
1662.45,30.76,10
1663.45,31.25,19
1664.45,31.25,21
1665.46,30.76,21
1666.46,31.25,21
1667.46,31.25,20
1668.46,30.76,19
1669.46,30.76,17
1670.46,31.25,17
1671.46,30.76,14
1672.46,30.76,14
1673.46,30.76,21
1674.47,31.25,16
1675.47,31.25,18
1676.47,30.76,11
1677.47,30.76,10
1678.47,30.76,11
1679.47,30.76,10
1680.47,30.76,29
1681.48,30.76,33
1682.47,30.76,55
1683.48,31.25,66
1684.48,31.25,71
1685.48,31.25,68
1686.48,30.76,32
1687.48,30.76,21
1688.48,30.76,42
1689.48,30.76,22
1690.49,30.76,14
1691.49,30.76,15
1692.48,30.76,27
1693.49,30.76,33
1694.49,30.76,24
1695.49,30.76,15
1696.49,30.76,25
1697.49,30.76,10
1698.49,30.76,10
1699.49,30.76,10
1700.5,30.76,10
1701.5,30.76,12
1702.5,30.76,10
1703.5,30.27,14
1704.5,30.76,11
1705.5,31.25,42
1706.5,31.25,10
1707.5,30.76,9
1708.5,30.76,10
1709.51,30.76,9
1710.51,30.76,10
1711.51,30.76,10
1712.51,30.76,9
1713.51,30.76,9
1714.51,30.76,10
1715.51,30.76,23
1716.51,30.76,17
1717.51,30.76,16
1718.51,30.76,9
1719.52,30.76,9
1720.52,30.76,9
1721.52,30.76,10
1722.52,30.76,21
1723.52,30.76,9
1724.52,30.76,6
1725.52,30.76,7
1726.52,30.76,20
1727.52,30.76,20
1728.53,30.76,18
1729.53,30.76,13
1730.53,30.76,9
1731.53,30.76,8
1732.53,30.76,8
1733.53,30.76,9
1734.53,30.76,6
1735.54,30.76,7
1736.53,30.76,9
1737.53,30.76,9
1738.54,30.27,9
1739.54,30.27,10
1740.54,30.76,23
1741.54,31.25,24
1742.54,31.25,12
1743.54,30.76,9
1744.54,30.76,9
1745.55,30.76,10
1746.54,31.25,28
1747.55,30.76,14
1748.55,30.76,21
1749.55,30.76,13
1750.55,30.76,14
1751.55,30.76,14
1752.55,30.76,21
1753.55,31.25,27
1754.56,30.76,12
1755.56,30.76,9
1756.55,30.76,9
1757.56,30.76,9
1758.56,30.76,8
1759.56,30.76,18
1760.56,31.25,27
1761.56,30.76,9
1762.56,31.25,10
1763.56,31.25,8
1764.57,30.76,9
1765.56,30.76,9
1766.57,30.76,7
1767.57,30.76,9
1768.57,30.76,9
1769.57,30.76,8
1770.57,30.76,9
1771.57,31.25,10
1772.57,31.25,16
1773.58,31.25,22
1774.58,31.25,32
1775.58,31.74,39
1776.58,31.74,40
1777.58,31.25,9
1778.58,30.76,9
1779.58,31.25,19
1780.58,31.25,24
1781.58,31.25,10
1782.58,30.76,9
1783.59,31.25,10
1784.59,30.76,9
1785.59,31.25,24
1786.59,31.25,34
1787.59,31.74,47
1788.59,31.74,45
1789.59,31.25,30
1790.59,31.74,43
1791.6,31.74,45
1792.6,31.25,21
1793.6,31.25,18
1794.6,31.25,16
1795.6,31.25,20
1796.6,31.25,22
1797.6,30.76,15
1798.61,31.25,35
1799.6,31.25,38
1800.6,30.76,22
1801.61,31.25,25
1802.61,31.25,28
1803.61,31.25,26
1804.61,31.25,26
1805.61,30.76,12
1806.61,31.25,28
1807.61,31.25,34
1808.62,31.74,39
1809.61,31.25,23
1810.62,30.76,19
1811.62,31.25,23
1812.62,31.25,19
1813.62,30.76,17
1814.62,30.76,18
1815.62,30.76,16
1816.62,30.76,19
1817.63,30.76,14
1818.63,30.76,21
1819.63,31.25,34
1820.63,30.76,22
1821.63,30.76,18
1822.63,30.76,12
1823.63,30.76,15
1824.63,30.76,13
1825.63,30.76,11
1826.64,30.76,10
1827.64,30.76,10
1828.64,30.76,20
1829.64,30.76,16
1830.64,30.76,10
1831.64,30.76,10
1832.64,30.76,21
1833.64,30.76,11
1834.64,30.76,10
1835.64,30.76,10
1836.65,30.76,10
1837.65,30.76,9
1838.65,30.76,19
1839.65,30.76,9
1840.65,30.76,10
1841.65,30.76,11
1842.65,30.76,24
1843.65,31.25,30
1844.65,31.25,31
1845.66,31.25,13
1846.66,30.76,8
1847.66,30.76,9
1848.67,30.76,11
1849.66,30.76,18
1850.66,31.25,24
1851.66,31.25,18
1852.66,30.76,9
1853.66,31.25,33
1854.67,31.25,39
1855.67,30.76,34
1856.67,30.76,19
1857.67,30.76,28
1858.67,30.76,26
1859.67,30.76,13
1860.67,30.76,13
1861.68,31.25,26
1862.68,31.25,30
1863.67,31.74,34
1864.68,31.25,21
1865.68,31.25,24
1866.68,31.25,24
1867.68,31.74,24
